"fred_release_id"	"date"	"name"
"15"	"2015-01-05"	"G.5 Foreign Exchange Rates"
"15"	"2015-01-12"	"G.5 Foreign Exchange Rates"
"15"	"2015-01-20"	"G.5 Foreign Exchange Rates"
"15"	"2015-01-26"	"G.5 Foreign Exchange Rates"
"15"	"2015-02-02"	"G.5 Foreign Exchange Rates"
"15"	"2015-02-09"	"G.5 Foreign Exchange Rates"
"15"	"2015-02-17"	"G.5 Foreign Exchange Rates"
"15"	"2015-02-23"	"G.5 Foreign Exchange Rates"
"15"	"2015-03-02"	"G.5 Foreign Exchange Rates"
"15"	"2015-03-09"	"G.5 Foreign Exchange Rates"
"15"	"2015-03-16"	"G.5 Foreign Exchange Rates"
"15"	"2015-03-23"	"G.5 Foreign Exchange Rates"
"15"	"2015-03-30"	"G.5 Foreign Exchange Rates"
"15"	"2015-04-06"	"G.5 Foreign Exchange Rates"
"15"	"2015-04-13"	"G.5 Foreign Exchange Rates"
"15"	"2015-04-20"	"G.5 Foreign Exchange Rates"
"15"	"2015-04-27"	"G.5 Foreign Exchange Rates"
"15"	"2015-05-04"	"G.5 Foreign Exchange Rates"
"15"	"2015-05-11"	"G.5 Foreign Exchange Rates"
"15"	"2015-05-18"	"G.5 Foreign Exchange Rates"
"15"	"2015-05-26"	"G.5 Foreign Exchange Rates"
"15"	"2015-06-01"	"G.5 Foreign Exchange Rates"
"15"	"2015-06-08"	"G.5 Foreign Exchange Rates"
"15"	"2015-06-15"	"G.5 Foreign Exchange Rates"
"15"	"2015-06-22"	"G.5 Foreign Exchange Rates"
"15"	"2015-06-29"	"G.5 Foreign Exchange Rates"
"15"	"2015-07-06"	"G.5 Foreign Exchange Rates"
"15"	"2015-07-13"	"G.5 Foreign Exchange Rates"
"15"	"2015-07-20"	"G.5 Foreign Exchange Rates"
"15"	"2015-07-27"	"G.5 Foreign Exchange Rates"
"15"	"2015-08-03"	"G.5 Foreign Exchange Rates"
"15"	"2015-08-10"	"G.5 Foreign Exchange Rates"
"15"	"2015-08-17"	"G.5 Foreign Exchange Rates"
"15"	"2015-08-24"	"G.5 Foreign Exchange Rates"
"15"	"2015-08-31"	"G.5 Foreign Exchange Rates"
"15"	"2015-09-08"	"G.5 Foreign Exchange Rates"
"15"	"2015-09-14"	"G.5 Foreign Exchange Rates"
"15"	"2015-09-21"	"G.5 Foreign Exchange Rates"
"15"	"2015-09-28"	"G.5 Foreign Exchange Rates"
"15"	"2015-10-05"	"G.5 Foreign Exchange Rates"
"15"	"2015-10-13"	"G.5 Foreign Exchange Rates"
